col1,col2,
0,0,
1,0,
2,0.0000038,
3,0.0000019,
4,0.00000022,
5,0.00000023,
6,0.0000038,
7,0.00000023,
8,0.00000073,
9,0,
10,0.00000063,
11,0,
12,0,
13,0,
14,0.00000002,
15,0,
16,0.00000076,
17,0,
18,0.00000049,
19,0,
20,0.0000002,
21,0.00000044,
22,0.0000076,
23,0.00000018,
24,0,
25,0.00000005,
26,0.0000038,
27,0.00000224,
28,0,
29,0,
30,0,
31,0.00000061,
32,0,
33,0,
34,0,
35,0.00000024,
36,0,
37,0,
38,0,
39,0.00000032,
40,0,
41,0.00000038,
42,0,
43,0,
44,0,
45,0,
46,0,
47,0,
48,0.00000058,
49,0,
50,0.00000036,
51,0,
52,0.00000069,
53,0,
54,0,
55,0,
56,0.00000054,
57,0.00000011,
58,0,
59,0.00000072,
60,0,
61,0.00000042,
62,0,
63,0.00000045,
64,0,
65,0,
66,0,
67,0.00000175,
68,0,
69,0.00000056,
70,0,
71,0,
72,0.0000007,
73,0,
74,0,
75,0.00000131,
76,0,
77,0,
78,0,
79,0.00000028,
80,0,
81,0.00000025,
82,0,
83,0.00000015,
84,0,
85,0.00000062,
86,0.0000035,
87,0.00000024,
88,0.00000045,
89,0.0000076,
90,0,
91,0,
92,0,
93,0.00000058,
94,0,
95,0.00000053,
96,0,
97,0.00000033,
98,0,
99,0,
100,0.00000009,
101,0,
102,0.00000009,
103,0,
104,0.00000063,
105,0.0000038,
106,0.00000043,
107,0,
108,0,
109,0,
110,0.00000014,
111,0,
112,0.00000047,
113,0.00000085,
114,0,
115,0,
116,0.00000041,
117,0,
118,0.00000017,
119,0,
120,0.00000087,
121,0.0000038,
122,0.00000026,
123,0,
124,0,
125,0,
126,0.00000076,
127,0,
128,0.00000046,
129,0.00000076,
130,0.0000004,
131,0.00000015,
132,0,
133,0.00000012,
134,0.0000057,
135,0.00000053,
136,0,
137,0,
138,0,
139,0.00000014,
140,0,
141,0.0000003,
142,0,
143,0.00000024,
144,0,
145,0.00000091,
146,0.00000127,
147,0.00000049,
148,0,
149,0,
150,0,
151,0.00000061,
152,0,
153,0.00000189,
154,0,
155,0.00000075,
156,0,
157,0,
158,0,
159,0.00000024,
160,0.00000202,
161,0.00000012,
162,0,
163,0.00000051,
164,0.00000253,
165,0.00000034,
166,0,
167,0.00000017,
168,0.0000006,
169,0.00000023,
170,0,
171,0,
172,0,
173,0,
174,0,
175,0.00000044,
176,0,
177,0.00000024,
178,0,
179,0,
180,0,
181,0.00000102,
182,0.0000038,
183,0.0000003,
184,0,
185,0.00000069,
186,0.00000087,
187,0.00000066,
188,0,
189,0.00000013,
190,0,
191,0,
192,0,
193,0.00000042,
194,0.00000054,
195,0.0000038,
196,0.00000181,
197,0.00000104,
198,0.0000076,
199,0.00000056,
200,0.00000121,
201,0.00000185,
202,0,
203,0.00000035,
204,0,
205,0.0000002,
206,0.00000025,
207,0,
208,0,
209,0.00000025,
210,0.0000038,
211,0.00000035,
212,0.00000043,
213,0,
214,0,
215,0,
216,0,
217,0.00000094,
218,0,
219,0.0000001,
220,0,
221,0.00000227,
222,0,
223,0,
224,0,
225,0,
226,0,
227,0,
228,0,
229,0.00000019,
230,0.00000016,
231,0,
232,0,
233,0,
234,0,
235,0,
236,0.00000029,
237,0,
238,0,
239,0,
240,0,
241,0,
242,0,
243,0.0000038,
244,0.00000045,
245,0.00000089,
246,0,
247,0.00000017,
248,0,
249,0,
250,0,
251,0.00000052,
252,0.00000011,
253,0,
254,0.00000043,
255,0,
256,0,
257,0,
258,0,
259,0,
260,0.00000037,
261,0.00000033,
262,0,
263,0.00000045,
264,0.00000035,
265,0.00000042,
266,0,
267,0.00000023,
268,0.0000076,
269,0,
270,0.0000003,
271,0.00000025,
272,0,
273,0.00000019,
274,0,
275,0.00000034,
276,0.00000253,
277,0.00000139,
278,0.00000104,
279,0.0000016,
280,0,
281,0.0000032,
282,0,
283,0,
284,0,
285,0,
286,0,
287,0,
288,0.00000026,
289,0.0000076,
290,0.0000076,
291,0.0000076,
292,0.0000076,
293,0.0000076,
294,0.0000076,
295,0.0000076,
296,0.00000651,
297,0,
298,0.00000082,
299,0,
300,0,
301,0,
302,0.00000048,
303,0,
304,0.00000152,
