col1	col2
25	0.026383063
2292	0.013904587
366	0.011879205
2293	0.011317864
433	0.010657908
161	0.010293794
5	0.010286208
1352	0.009838652
450	0.009777967
1089	0.009550396
851	0.008920783
57	0.008412541
914	0.008367026
414	0.008215312
3890	0.008169798
2363	0.008139455
1334	0.008093941
3176	0.007251929
1682	0.007016772
2285	0.006986429
267	0.006933329
3749	0.006872644
1027	0.006819544
876	0.006811958
715	0.006804372
1480	0.00677403
4169	0.006599559
1321	0.006584387
1287	0.006576801
365	0.006546459
855	0.006425087
20	0.006379573
219	0.006334059
11597	0.006250616
131	0.006227859
3253	0.006220274
655	0.006174759
1002	0.005795474
1397	0.005772717
666	0.005757546
6055	0.005689275
1502	0.005674103
16973	0.005674103
578	0.00559066
2282	0.005507218
913	0.005499632
966	0.005484461
410	0.005401018
11445	0.005378261
5592	0.005378261
1328	0.005370675
689	0.005302404
1685	0.005264475
931	0.005188618
1945	0.005188618
17354	0.00515069
549	0.005127933
3343	0.005052076
106	0.005029319
453	0.00499139
247	0.004983805
744	0.004945876
1003	0.004915533
5148	0.00488519
2116	0.004847262
1652	0.004771405
430	0.004748648
3380	0.004718305
1865	0.004680377
7766	0.004672791
175	0.004672791
3147	0.004657619
1492	0.004650034
1313	0.004612105
865	0.004589348
2738	0.004589348
382	0.004574177
4948	0.004566591
3205	0.004559005
532	0.00449832
4542	0.00449832
5213	0.00449832
1348	0.004467977
1955	0.004467977
1274	0.00444522
3259	0.004414877
35	0.004399706
1970	0.00439212
10369	0.004308677
1488	0.004301092
6800	0.004194892
1605	0.004141792
2475	0.004119035
1037	0.004096278
677	0.004073521
1891	0.004058349
1345	0.004058349
2579	0.004050764
570	0.004043178
1547	0.004035592
3144	0.003990078
3723	0.003967321
3697	0.003959735
169	0.003936978
363	0.003936978
2677	0.003929392
2842	0.003914221
1787	0.003914221
1882	0.003883878
3805	0.003830778
3171	0.003815607
4167	0.003815607
77232	0.00379285
691	0.003785264
1894	0.003716993
3915	0.003716993
1118	0.003671479
4629	0.003663893
3249	0.003656307
1288	0.003656307
2224	0.003648721
1296	0.00363355
16933	0.003625964
1404	0.003618379
1495	0.003610793
2183	0.003610793
671	0.003595622
3168	0.003550107
1494	0.003550107
23	0.003542522
317	0.00352735
3847	0.00352735
3828	0.003497007
2287	0.00347425
10862	0.00347425
1119	0.003459079
4080	0.00342115
2387	0.003413565
8833	0.003413565
5983	0.003405979
1497	0.003405979
3324	0.003398393
6279	0.003360465
2405	0.003345293
155	0.003337708
967	0.003322536
661	0.003314951
3543	0.003307365
307	0.003307365
4261	0.003307365
3133	0.003299779
657	0.003299779
3358	0.003292194
5135	0.003292194
4489	0.003261851
904	0.003223922
1533	0.003216337
555	0.003216337
3204	0.003208751
2094	0.003193579
167	0.003193579
2402	0.003163237
3842	0.003148065
1493	0.003132894
16926	0.003132894
3879	0.003117722
5377	0.003094965
79	0.003079794
50524	0.003079794
1365	0.003072208
2044	0.003064623
16936	0.003064623
2271	0.003049451
1083	0.003049451
3626	0.003041865
558	0.00303428
33931	0.003019108
1905	0.003019108
52	0.003011523
1438	0.002988766
3438	0.002988766
1784	0.002988766
9349	0.002988766
2557	0.00298118
9071	0.00298118
1322	0.00298118
1441	0.002973594
23532	0.002973594
1607	0.002973594
4360	0.002966008
5773	0.002966008
2648	0.002966008
2505	0.002958423
2200	0.002958423
1289	0.002943251
1951	0.002935666
544	0.00292808
353	0.002920494
3141	0.002905323
3244	0.002905323
1092	0.002890151
13506	0.002882566
4665	0.002882566
1149	0.00287498
9384	0.002867394
1782	0.002859809
23561	0.002852223
3197	0.002844637
5203	0.002829466
6847	0.002829466
918	0.002829466
3060	0.00282188
2040	0.002814294
9846	0.002806709
3137	0.002738437
6364	0.002723266
7855	0.002723266
717	0.00271568
3371	0.002685338
2286	0.002677752
1499	0.002670166
1819	0.002662581
203	0.002662581
1952	0.002654995
3338	0.002647409
17069	0.002647409
9221	0.002647409
264	0.002632238
263	0.002632238
2010	0.002624652
2335	0.002609481
1937	0.002601895
2279	0.002601895
3241	0.002601895
3017	0.002579138
5051	0.002579138
1017	0.002571552
9282	0.002571552
1954	0.002571552
3177	0.002556381
6276	0.002556381
13732	0.002556381
17011	0.002548795
1378	0.002541209
321	0.002533624
311	0.002526038
2339	0.002526038
16995	0.002526038
4256	0.002526038
21249	0.002526038
4959	0.002518452
33960	0.002518452
7341	0.002518452
8665	0.002503281
552	0.002503281
12134	0.002495695
946	0.002495695
2084	0.002480524
1867	0.002472938
17005	0.002472938
1127	0.002472938
7529	0.002457767
12016	0.002457767
17376	0.002450181
1909	0.002442595
8953	0.002442595
17373	0.002427424
3201	0.002419838
593	0.002419838
4308	0.002412252
1510	0.002412252
693	0.002404667
11639	0.002404667
6296	0.002397081
12047	0.002397081
2276	0.002389495
1349	0.00238191
3210	0.002374324
28937	0.002351567
1075	0.002351567
4657	0.002351567
37772	0.002351567
1026	0.002336395
961	0.00232881
1032	0.002321224
12184	0.002321224
481	0.002306053
1444	0.002290881
1929	0.002290881
5561	0.002290881
1816	0.002290881
9763	0.00227571
878	0.002268124
11640	0.002260538
1687	0.002252953
1303	0.002252953
1783	0.002252953
3750	0.002252953
92839	0.002252953
1440	0.002245367
1278	0.002237781
7588	0.002237781
930	0.002237781
1650	0.002237781
1485	0.002230196
12806	0.002230196
4689	0.00222261
10428	0.00222261
79365	0.00222261
11714	0.00222261
361	0.002215024
1327	0.002215024
3321	0.002215024
6278	0.002215024
1090	0.002207439
2550	0.002207439
1504	0.002207439
3710	0.002207439
370	0.002207439
1615	0.002207439
1457	0.002199853
1456	0.002192267
1946	0.002184681
4494	0.002177096
8930	0.002177096
1825	0.002177096
6911	0.002177096
1702	0.002177096
3277	0.00216951
1361	0.00216951
3903	0.002154339
48759	0.002154339
1691	0.002154339
1511	0.002139167
10197	0.002139167
1333	0.002139167
8968	0.002131582
3829	0.002131582
19052	0.002123996
11841	0.002123996
647	0.00211641
1306	0.002108824
1486	0.002108824
4216	0.002108824
6306	0.002101239
1895	0.002101239
2506	0.002101239
3280	0.002101239
2941	0.002093653
11824	0.002093653
409	0.002086067
17418	0.002086067
2378	0.002086067
1869	0.002078482
3905	0.002078482
17396	0.002078482
791	0.002078482
11772	0.002078482
713	0.002078482
4313	0.002070896
4320	0.002070896
5527	0.002070896
11689	0.002070896
1578	0.00206331
13944	0.00206331
1213	0.00206331
63694	0.002055725
5992	0.002055725
3737	0.002055725
413	0.002048139
1831	0.002040553
11598	0.002040553
3424	0.002040553
8778	0.002040553
4018	0.002040553
5162	0.002032967
5739	0.002032967
11702	0.002032967
11693	0.002032967
1907	0.002025382
2540	0.002025382
55005	0.002025382
6816	0.002017796
6993	0.002017796
1509	0.00201021
3615	0.00201021
483	0.00201021
21135	0.00201021
3453	0.00201021
17013	0.002002625
1302	0.002002625
1566	0.002002625
6298	0.002002625
4045	0.002002625
727	0.001995039
1487	0.001995039
10158	0.001995039
27187	0.001995039
4704	0.001979868
5496	0.001972282
709	0.001972282
3883	0.001972282
15136	0.001972282
2210	0.001964696
6257	0.001964696
14616	0.001964696
445	0.00195711
819	0.001949525
11349	0.001949525
3753	0.001949525
735	0.001949525
323	0.001941939
1466	0.001934353
364	0.001934353
3951	0.001934353
2261	0.001926768
11604	0.001926768
6719	0.001919182
19523	0.001919182
11835	0.001919182
17020	0.001911596
22787	0.001911596
6280	0.001911596
63689	0.001904011
5669	0.001904011
1505	0.001896425
197	0.001888839
1884	0.001888839
13095	0.001888839
3845	0.001881253
2283	0.001881253
6146	0.001881253
18601	0.001873668
3613	0.001873668
11735	0.001873668
11704	0.001866082
1969	0.001858496
56140	0.001858496
1541	0.001850911
27281	0.001850911
1690	0.001850911
6282	0.001850911
11863	0.001850911
11707	0.001850911
3183	0.001843325
3228	0.001843325
5517	0.001843325
9317	0.001843325
2344	0.001835739
2332	0.001835739
5227	0.001828154
16639	0.001820568
2560	0.001820568
3010	0.001820568
3763	0.001812982
3116	0.001812982
3247	0.001812982
23259	0.001812982
3921	0.001812982
56099	0.001812982
13106	0.001805396
57053	0.001805396
11840	0.001805396
1713	0.001797811
3339	0.001790225
12181	0.001790225
3112	0.001790225
14883	0.001790225
3856	0.001790225
3376	0.001790225
3848	0.001790225
11722	0.001790225
2268	0.001782639
11819	0.001782639
11874	0.001782639
4389	0.001775054
9019	0.001767468
10260	0.001767468
49166	0.001767468
3784	0.001759882
6275	0.001759882
7293	0.001759882
8145	0.001752297
9757	0.001752297
18828	0.001752297
11853	0.001752297
7682	0.001744711
11410	0.001744711
11701	0.001744711
11719	0.001744711
17398	0.001737125
5650	0.001737125
35997	0.001737125
27210	0.001729539
8518	0.001729539
3220	0.001729539
21255	0.001729539
3160	0.001729539
11838	0.001729539
11854	0.001729539
1788	0.001721954
6726	0.001721954
4000	0.001721954
55516	0.001721954
11691	0.001721954
3619	0.001714368
9364	0.001714368
1503	0.001714368
11873	0.001714368
56129	0.001714368
14297	0.001706782
11864	0.001706782
1957	0.001699197
7080	0.001699197
4540	0.001699197
6272	0.001699197
9046	0.001699197
46032	0.001684025
56106	0.001684025
2355	0.00167644
3194	0.00167644
3162	0.00167644
7078	0.00167644
55861	0.00167644
56115	0.00167644
116	0.001668854
11859	0.001668854
8830	0.001661268
3161	0.001661268
1474	0.001661268
9720	0.001653682
3931	0.001653682
3064	0.001653682
3709	0.001653682
56342	0.001653682
11851	0.001653682
56851	0.001653682
57140	0.001646097
50	0.001638511
1285	0.001638511
632	0.001638511
3654	0.001638511
11862	0.001638511
56114	0.001638511
56142	0.001638511
29632	0.001630925
1211	0.001630925
6281	0.001630925
6579	0.001630925
11871	0.001630925
8832	0.001630925
3762	0.00162334
3617	0.00162334
3802	0.001615754
6725	0.001615754
2118	0.001615754
11739	0.001615754
1133	0.001608168
2341	0.001608168
11724	0.001608168
27216	0.001600583
3226	0.001600583
5728	0.001600583
11731	0.001600583
2133	0.001592997
16795	0.001592997
3871	0.001592997
11950	0.001592997
17381	0.001585411
1608	0.001585411
27027	0.001585411
56845	0.001585411
5291	0.001577825
17349	0.001577825
6799	0.001577825
23251	0.001577825
11694	0.001577825
1024	0.00157024
24307	0.00157024
2220	0.00157024
27279	0.00157024
56292	0.00157024
554	0.001562654
12100	0.001562654
2406	0.001562654
57151	0.001562654
11920	0.001562654
6274	0.001555068
23477	0.001555068
1376	0.001555068
3907	0.001555068
30729	0.001555068
11743	0.001555068
56112	0.001555068
1269	0.001547483
2947	0.001547483
12467	0.001547483
3399	0.001547483
1960	0.001547483
57171	0.001547483
56145	0.001547483
7674	0.001539897
17073	0.001539897
923	0.001539897
3186	0.001539897
56144	0.001539897
17391	0.001532311
1095	0.001532311
1434	0.001532311
9785	0.001532311
57148	0.001532311
33959	0.001524726
32371	0.001524726
1832	0.001524726
3190	0.001524726
54231	0.001524726
551	0.00151714
423	0.00151714
11247	0.00151714
48758	0.00151714
17026	0.001509554
831	0.001509554
4742	0.001509554
2733	0.001509554
408	0.001509554
14576	0.001509554
57169	0.001509554
11712	0.001509554
53632	0.001509554
1512	0.001501968
109702	0.001501968
584	0.001501968
2362	0.001501968
2425	0.001501968
4235	0.001501968
21966	0.001494383
3894	0.001494383
2135	0.001494383
1469	0.001486797
3211	0.001486797
16331	0.001486797
11720	0.001486797
7063	0.001486797
56102	0.001486797
11831	0.001486797
56395	0.001486797
1336	0.001479211
5882	0.001479211
21168	0.001479211
313	0.001479211
56146	0.001479211
11690	0.001479211
922	0.001471626
3066	0.001471626
11852	0.001471626
17048	0.00146404
33990	0.00146404
2643	0.00146404
63716	0.00146404
11845	0.00146404
41473	0.00146404
11703	0.00146404
1972	0.001456454
143	0.001456454
5484	0.001456454
1291	0.001456454
10572	0.001456454
5591	0.001456454
2266	0.001456454
135	0.001456454
57156	0.001456454
54253	0.001456454
92832	0.001448869
2790	0.001448869
2914	0.001448869
3159	0.001448869
55760	0.001448869
1451	0.001441283
14101	0.001441283
